Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
31	-	Base	1	0.000605287	0.00128863	0.00068334	-	-10764.8	2417.83	8.52494e-06	91279	abletoconfide.baseline	Soft-ImpAll	1	Soft-ImpAll:1	0.0189094	0.0320098469544248
32	-	Base	1	0.00034923	0.00130206	0.000952827	-	-8234.85	2435.66	0.00072319	91307	abletoconfide.baseline	Soft-ImpAll	2	Soft-ImpAll:2	0.0114536	0.0304908500384159
33	-	Base	1	0.000786997	0.00172513	0.000938134	-	-12414.6	2443.24	3.77098e-07	91294	abletoconfide.baseline	Soft-ImpAll	3	Soft-ImpAll:3	0.0187658	0.0419378337187863
34	-	Base	1	0.000638501	0.00183199	0.00119349	-	-11249.9	2455.8	4.64567e-06	91283	abletoconfide.baseline	Soft-ImpAll	4	Soft-ImpAll:4	0.0256769	0.024866747932967
35	-	Base	1	0.000201554	0.00104288	0.000841323	-	-6144.83	2390.94	0.0101728	91208	abletoconfide.baseline	Soft-ImpAll	5	Soft-ImpAll:5	0.0159356	0.01264803333417
36	-	Base	1	0.000987273	0.00258249	0.00159522	-	-13822.3	2430.45	1.30277e-08	91315	abletoconfide.baseline	Soft-ImpAll	6	Soft-ImpAll:6	0.0210235	0.0469604490213333
37	-	Base	1	0.00076658	0.0014759	0.000709318	-	-12146.8	2423.76	5.42714e-07	91268	abletoconfide.baseline	Soft-ImpAll	7	Soft-ImpAll:7	0.014561	0.0526461094705034
38	-	Base	1	0.000699393	0.00169645	0.000997058	-	-11687.7	2441.53	1.69975e-06	91211	abletoconfide.baseline	Soft-ImpAll	8	Soft-ImpAll:8	0.0165858	0.0421681800094056
39	-	Base	1	0.000139897	0.00104741	0.000907514	-	-5121.43	2392.43	0.0323071	91243	abletoconfide.baseline	Soft-ImpAll	9	Soft-ImpAll:9	0.0205236	0.00681639673351654
40	-	Base	1	0.000598924	0.00188881	0.00128989	-	-10727.1	2420.15	9.3477e-06	91177	abletoconfide.baseline	Soft-ImpAll	10	Soft-ImpAll:10	0.0157192	0.0381014300982238
41	-	Base	1	0.000343752	0.00102709	0.00068334	-	1754.4	522.952	0.000795141	91279	abletoconfide.baseline	LifetimeMDD	1	LifetimeMDD:1	0.00766083	0.0448713781665955
42	-	Base	1	5.14926e-05	0.00100432	0.000952827	-	683.369	526.458	0.194279	91307	abletoconfide.baseline	LifetimeMDD	2	LifetimeMDD:2	0.0043487	0.0118409179754869
43	-	Base	1	0.000227753	0.00116589	0.000938134	-	1440.89	527.277	0.00628526	91294	abletoconfide.baseline	LifetimeMDD	3	LifetimeMDD:3	0.00733339	0.0310569872869164
44	-	Base	1	0.000405909	0.0015994	0.00119349	-	1942.25	531.823	0.000260542	91283	abletoconfide.baseline	LifetimeMDD	4	LifetimeMDD:4	0.0078922	0.0514316667089025
45	-	Base	1	3.12953e-06	0.000844452	0.000841323	-	160.74	501.974	0.748807	83708	abletoconfide.baseline	LifetimeMDD	5	LifetimeMDD:5	0.00776604	0.000402976291649283
46	-	Base	1	0.000500209	0.00209543	0.00159522	-	2128.22	525.862	5.19717e-05	91315	abletoconfide.baseline	LifetimeMDD	6	LifetimeMDD:6	0.00928203	0.0538900434495471
47	-	Base	1	8.53623e-05	0.00079468	0.000709318	-	880.536	526.706	0.0945773	91268	abletoconfide.baseline	LifetimeMDD	7	LifetimeMDD:7	0.00805612	0.0105959568626088
48	-	Base	1	9.88146e-05	0.00109587	0.000997058	-	953.211	529.908	0.0720556	91211	abletoconfide.baseline	LifetimeMDD	8	LifetimeMDD:8	0.0064324	0.0153620110689634
49	-	Base	1	4.90386e-06	0.000912418	0.000907514	-	208.076	519.2	0.688598	91243	abletoconfide.baseline	LifetimeMDD	9	LifetimeMDD:9	0.00983546	0.000498589796511805
50	-	Base	1	0.000353675	0.00164357	0.00128989	-	1791.62	526.066	0.000660759	91177	abletoconfide.baseline	LifetimeMDD	10	LifetimeMDD:10	0.00687512	0.0514427384540197
51	-	Base	1	0.000182384	0.000865724	0.00068334	-	2855.2	1168.52	0.0145531	91279	abletoconfide.baseline	GPpsy	1	GPpsy:1	0.0128612	0.0141809473455043
