pheno	prs	meanp	meanratio	sdratio	meanr2	cvr2	meanthresh	meanlogp	sdthresh	sdlogp	sdsnp	meansnp	lower	upper
1	abletoconfide.baseline	Auto-ImpAll	0.00372652886330556	0.0397653388276663	0.023114695634267	0.000638655444444444	0.551398602739364	1	0	0	0	48.6538225059907	91255.7777777778	-0.00553946461549696	0.0850701422708296
2	abletoconfide.baseline	Auto-ImpOnly	0.00527993784689567	0.0521162946235702	0.0404350938712675	0.000524797444444444	0.677424551352138	1	0	0	0	48.6538225059907	91255.7777777778	-0.027136489364114	0.131369078611254
3	abletoconfide.baseline	GPpsy	0.0509444109755556	0.020643082641987	0.0151535016797449	0.000239878955555556	0.804573832972202	1	0	0	0	48.6538225059907	91255.7777777778	-0.009057780650313	0.050343945934287
4	abletoconfide.baseline	LifetimeMDD	0.200678892411111	0.024440177705811	0.0213349847375845	0.000185454654444444	0.963687077191816	1	0	0	0	2518.32295938741	90422.4444444444	-0.0173763923798547	0.0662567477914767
5	abletoconfide.baseline	MTAG.All	0.00245894972405811	0.0333429177814155	0.0176365179928006	0.000624175333333333	0.525044282508151	1	0	0	0	2641.84684453887	88971.6666666667	-0.00122465748447367	0.0679104930473046
6	abletoconfide.baseline	MTAG.Envs	7.65063187451756e-05	0.0599243397240673	0.0292318763362308	0.000882840111111111	0.4506483223684	1	0	0	0	2560.30338914052	90120.7777777778	0.00262986210505496	0.11721881734308
7	abletoconfide.baseline	MTAG.FamilyHistory	0.157179758951111	0.0184107825003507	0.0241496871386706	0.000176948866666667	1.22185154159261	1	0	0	0	2822.59504317884	89507.4444444444	-0.0289226042914436	0.0657441692921449
8	abletoconfide.baseline	Soft-ImpAll	0.00480262169218889	0.0337532365976422	0.0153002545523745	0.000570570555555556	0.498865425727083	1	0	0	0	48.6538225059907	91255.7777777778	0.00376473767498826	0.0637417355202961
9	abletoconfide.baseline	Soft-ImpOnly	0.00857887514526667	0.0283190244620297	0.0151031459691654	0.000386636555555556	0.615457079205688	1	0	0	0	1402.44215566989	90785.6666666667	-0.00128314163753452	0.0579211905615939
10	agefirstsex.baseline	Auto-ImpAll	7.49477328796667e-07	0.066168698571521	0.0243415428042179	0.00106465222222222	0.30433508452561	1	0	0	0	48.6538225059907	91255.7777777778	0.0184592746752539	0.113878122467788
11	agefirstsex.baseline	Auto-ImpOnly	3.35704403166556e-06	0.0924898427526275	0.0408510952576043	0.000936795444444444	0.344350057087708	1	0	0	0	48.6538225059907	91255.7777777778	0.0124216960477231	0.172557989457532
12	agefirstsex.baseline	GPpsy	0.0120260676557778	0.043251813284499	0.032871471998673	0.000478375255555556	0.559545157795172	1	0	0	0	48.6538225059907	91255.7777777778	-0.0211762718329	0.107679898401898
13	agefirstsex.baseline	LifetimeMDD	0.0965667537777778	0.0244115111677501	0.0195128791735448	0.000174654211111111	0.800060136638435	1	0	0	0	2518.32295938741	90422.4444444444	-0.0138337320123978	0.0626567543478979
14	agefirstsex.baseline	MTAG.All	2.15057167255222e-05	0.0491601781097221	0.0250110478047289	0.000900344222222222	0.364183616620238	1	0	0	0	2641.84684453887	88971.6666666667	0.000138524412453406	0.0981818318069907
15	agefirstsex.baseline	MTAG.Envs	1.20130903183466e-08	0.104725878413042	0.035844029557976	0.00153853011111111	0.323187379366612	1	0	0	0	2560.30338914052	90120.7777777778	0.0344715804794088	0.174980176346675
16	agefirstsex.baseline	MTAG.FamilyHistory	0.485903355555556	0.00584848419382532	0.0110071168259965	4.54328456e-05	1.50063087579068	1	0	0	0	2822.59504317884	89507.4444444444	-0.0157254647851277	0.0274224331727784
17	agefirstsex.baseline	Soft-ImpAll	0.000257306157051111	0.0379773636139546	0.0150592070464994	0.000639173222222222	0.395365544011951	1	0	0	0	48.6538225059907	91255.7777777778	0.00846131780281588	0.0674934094250934
18	agefirstsex.baseline	Soft-ImpOnly	0.00291585452044444	0.034602745086146	0.0166569778153473	0.000462181111111111	0.517309263344512	1	0	0	0	1402.44215566989	90785.6666666667	0.00195506856806536	0.0672504216042266
19	alcoholfreq.baseline	Auto-ImpAll	3.20977874632867e-06	0.0700863678510882	0.035823287936837	0.00109784622222222	0.346330320596638	1	0	0	0	48.6538225059907	91255.7777777778	-0.000127276505112364	0.140300012207289
20	alcoholfreq.baseline	Auto-ImpOnly	0.000122364357544444	0.0717886103004054	0.0361568783130787	0.000711772888888889	0.308350229313993	1	0	0	0	48.6538225059907	91255.7777777778	0.000921128806771171	0.14265609179404
21	alcoholfreq.baseline	GPpsy	0.00750132056444444	0.0341408329066846	0.0243907486110468	0.000370335666666667	0.573058366018206	1	0	0	0	48.6538225059907	91255.7777777778	-0.0136650343709672	0.0819467001843364
22	alcoholfreq.baseline	LifetimeMDD	0.00310269259744444	0.0636364352420171	0.0427273536652039	0.000442265222222222	0.424703065472565	1	0	0	0	2518.32295938741	90422.4444444444	-0.0201091779417826	0.147382048425817
23	alcoholfreq.baseline	MTAG.All	1.11223160600396e-05	0.0576564893978272	0.0331100008958685	0.00103840688888889	0.388300531419193	1	0	0	0	2641.84684453887	88971.6666666667	-0.007239112358075	0.122552091153729
24	alcoholfreq.baseline	MTAG.Envs	1.69943471312758e-09	0.0998406947096495	0.0362533980706776	0.001460647	0.302414298631878	1	0	0	0	2560.30338914052	90120.7777777778	0.0287840344911213	0.170897354928178
25	alcoholfreq.baseline	MTAG.FamilyHistory	0.0687108374444445	0.0206390558862311	0.0166472889083046	0.000206348088888889	0.641645817827332	1	0	0	0	2822.59504317884	89507.4444444444	-0.0119896303740459	0.0532677421465082
