Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
32	-	Base	1	0.000117124	0.00106995	0.000952827	-	-4774.98	2439.02	0.0502686	116103	abletoconfide.baseline	Soft-ImpOnly	2	Soft-ImpOnly:2	0.00393597	0.0297573406301369
33	-	Base	1	0.000625712	0.00156385	0.000938134	-	-11075.1	2444.65	5.90908e-06	116103	abletoconfide.baseline	Soft-ImpOnly	3	Soft-ImpOnly:3	0.0107091	0.0584280658505383
34	-	Base	1	0.00035605	0.00154954	0.00119349	-	-8399.25	2455.68	0.000626195	116103	abletoconfide.baseline	Soft-ImpOnly	4	Soft-ImpOnly:4	0.0144168	0.0246968814161256
35	-	Base	1	0.000252467	0.00109379	0.000841323	-	-6915.78	2404.26	0.00402411	116103	abletoconfide.baseline	Soft-ImpOnly	5	Soft-ImpOnly:5	0.00531333	0.0475157763587054
36	-	Base	1	0.000510646	0.00210587	0.00159522	-	-9991.54	2443.43	4.34006e-05	116103	abletoconfide.baseline	Soft-ImpOnly	6	Soft-ImpOnly:6	0.0106193	0.048086597045003
37	-	Base	1	0.000347934	0.00105725	0.000709318	-	-8202.92	2430.06	0.000737388	116103	abletoconfide.baseline	Soft-ImpOnly	7	Soft-ImpOnly:7	0.0102368	0.0339885511097218
38	-	Base	1	5.78659e-05	0.00105492	0.000997058	-	-3347.34	2431.75	0.168672	116103	abletoconfide.baseline	Soft-ImpOnly	8	Soft-ImpOnly:8	0.0182462	0.00317139459175061
39	-	Base	1	0.000142586	0.0010501	0.000907514	-	-5241.12	2425.14	0.0306903	116103	abletoconfide.baseline	Soft-ImpOnly	9	Soft-ImpOnly:9	0.0113222	0.0125934888979174
40	-	Base	1	0.000132765	0.00142265	0.00128989	-	-5085.87	2437.64	0.0369506	116103	abletoconfide.baseline	Soft-ImpOnly	10	Soft-ImpOnly:10	0.013756	0.00965142483280023
41	-	Base	1	0.000450812	0.00113415	0.00068334	-	-10456.4	2721.56	0.000122234	116103	abletoconfide.baseline	Soft-ImpAll	1	Soft-ImpAll:1	0.0108366	0.0416008711219386
42	-	Base	1	0.000124344	0.00107717	0.000952827	-	-5531.27	2742.06	0.0436835	116103	abletoconfide.baseline	Soft-ImpAll	2	Soft-ImpAll:2	0.00495707	0.0250841727068611
43	-	Base	1	0.000845429	0.00178356	0.000938134	-	-14494.4	2752.12	1.39836e-07	116103	abletoconfide.baseline	Soft-ImpAll	3	Soft-ImpAll:3	0.0157596	0.0536453336379096
44	-	Base	1	0.000536687	0.00173017	0.00119349	-	-11595.3	2761.02	2.68033e-05	116103	abletoconfide.baseline	Soft-ImpAll	4	Soft-ImpAll:4	0.0201475	0.026637895520536
45	-	Base	1	0.000395027	0.00123635	0.000841323	-	-9718.72	2700.89	0.000320736	116103	abletoconfide.baseline	Soft-ImpAll	5	Soft-ImpAll:5	0.00835222	0.0472960482362773
46	-	Base	1	0.000513799	0.00210902	0.00159522	-	-11290.2	2752.53	4.11026e-05	116103	abletoconfide.baseline	Soft-ImpAll	6	Soft-ImpAll:6	0.0161662	0.0317822988704829
47	-	Base	1	0.00062301	0.00133233	0.000709318	-	-12373.8	2739	6.27545e-06	116103	abletoconfide.baseline	Soft-ImpAll	7	Soft-ImpAll:7	0.0120635	0.0516442160235421
48	-	Base	1	0.000172009	0.00116907	0.000997058	-	-6472.12	2726.95	0.0176311	116103	abletoconfide.baseline	Soft-ImpAll	8	Soft-ImpAll:8	0.0184354	0.0093303644076071
49	-	Base	1	0.000135345	0.00104286	0.000907514	-	-5719.74	2716.49	0.0352499	116103	abletoconfide.baseline	Soft-ImpAll	9	Soft-ImpAll:9	0.0155093	0.00872669946419245
50	-	Base	1	0.000242454	0.00153234	0.00128989	-	-7681.11	2724.14	0.0048106	116103	abletoconfide.baseline	Soft-ImpAll	10	Soft-ImpAll:10	0.0155551	0.0155867850415619
51	-	Base	1	0.000149422	0.000832762	0.00068334	-	2897.15	1309.97	0.0270007	116103	abletoconfide.baseline	GPpsy	1	GPpsy:1	0.00759726	0.0196678802620945
52	-	Base	1	0.000141943	0.00109477	0.000952827	-	2847.52	1321.21	0.0311505	116103	abletoconfide.baseline	GPpsy	2	GPpsy:2	0.0032396	0.0438149771576738
53	-	Base	1	0.000341015	0.00127915	0.000938134	-	4426.02	1323.56	0.000826631	116103	abletoconfide.baseline	GPpsy	3	GPpsy:3	0.0129498	0.0263336113299047
